timestamp,time_sec,delta_rms,delta_env,delta_cc,theta_rms,theta_env,theta_cc,alpha_rms,alpha_env,alpha_cc,beta_rms,beta_env,beta_cc,gamma_rms,gamma_env,gamma_cc,acc_x,acc_y,acc_z,acc_x_dev,acc_y_dev,acc_z_dev,ppg_bpm,ppg_cc

# === BASELINE DATA ===
# === DATA START ===
2025-12-16T08:43:57.619452,38.2,168.098902257514,0.720629674873615,31,47.64666796181653,0.7003200431582226,30,29.349882187924024,0.5899462232023467,25,27.521066754023018,0.6482736791082234,27,13.854680524949366,0.5220246081151514,22,-0.27227783203125,0.1431884765625,0.955078125,0.0009,0.0049,0.0032,64.30064992330746,7
2025-12-16T08:43:58.626142,39.2,163.74552745192364,0.8362957312521229,35,43.82153969909176,0.902160956701018,38,29.785918667326968,0.5647758840260902,24,26.378082868908507,0.9172384688367923,39,13.57568886969352,0.7135820142133303,30,-0.26165771484375,0.13385009765625,0.95172119140625,0.0115,-0.0045,-0.0002,69.80812756763152,16
2025-12-16T08:43:59.646061,40.2,177.3948221107427,0.7184760758477423,30,47.27983848519328,0.8624866864557069,37,29.662021024493786,0.5575074478240374,24,28.96781792909762,0.6989382754112641,30,14.547972792011612,0.6320861559033626,27,-0.2664794921875,0.1441650390625,0.9547119140625,0.0067,0.0059,0.0028,65.37891350046746,9
2025-12-16T08:44:00.646124,41.2,165.61634476598812,0.8075419619841606,34,45.688538797781234,0.9179828703048669,39,28.036776277469926,0.688197632587991,29,27.214498917271627,0.8213905195195941,35,13.805268741403232,0.7397199917988636,31,-0.26397705078125,0.14410400390625,0.943115234375,0.0092,0.0058,-0.0088,73.0298434790565,21
2025-12-16T08:44:01.668138,42.2,175.86116320405094,0.720684372352536,31,47.47062910708873,0.8635784970174998,37,29.460796271351185,0.6607136245761218,28,28.42912329796229,0.7164170933212719,30,14.83943587574178,0.5857561724619572,25,-0.2613525390625,0.14593505859375,0.9451904296875,0.0118,0.0076,-0.0067,68.67604069142652,14
2025-12-16T08:44:02.682967,43.2,169.50069960596946,0.7525167179076194,32,47.87152101488887,0.804517905835934,34,29.96222653485004,0.5995837477161813,25,28.538896634477098,0.6257018261818497,26,15.273889215635595,0.381649476887234,16,-0.2708740234375,0.1435546875,0.9586181640625,0.0023,0.0052,0.0067,63.855149942632295,6
2025-12-16T08:44:03.692376,44.3,171.9997954287492,0.7384029736155552,31,46.80172684581323,0.8191547689935449,35,30.38325214172805,0.5216190221593832,22,28.79117864786672,0.5225941156797751,22,15.01149319751601,0.296956271583367,13,-0.2208251953125,0.549072265625,0.8297119140625,0.0524,0.4108,-0.1222,83.62021090648524,37
2025-12-16T08:44:04.695546,45.3,165.5067286661716,0.8230872197638619,35,46.098229734318465,0.8662125701287896,37,28.372400482108482,0.6350366263084855,27,27.64847880915719,0.6298169194217769,27,14.246384816776827,0.40731971192386485,17,-0.23590087890625,0.62127685546875,0.8084716796875,0.0373,0.4830,-0.1434,70.20570916266425,16
2025-12-16T08:44:05.696119,46.3,173.66080244890077,0.7636117146937775,32,52.232014197618696,0.5781895882714395,24,31.63910113335705,0.4415184376208112,19,30.576354852494084,0.2452108803448805,10,15.748596263060701,0.1514864146197544,6,-0.38055419921875,0.0009765625,0.88592529296875,-0.1074,-0.1373,-0.0660,81.14315239641326,34
2025-12-16T08:44:06.706795,47.3,194.81524310875938,0.4138893574637936,18,57.75001872139486,0.08783206587239767,4,33.795618581915704,0.12589341245685456,5,32.168051358193246,0.27390179552018495,12,16.658372192931093,0.2293229406404304,10,0.275146484375,-0.501953125,1.35247802734375,0.5483,-0.6403,0.4006,89.79242847840817,47
2025-12-16T08:44:07.717361,48.3,301.59318339597587,1.3860111852541128,59,84.06061781458047,1.6321767921103825,69,50.30198732419824,1.4740383929453529,62,44.104673254275546,2.511271040155168,106,24.212522169805787,2.170883039228797,92,0.093505859375,0.1968994140625,0.798583984375,0.3667,0.0586,-0.1533,140.0,127
2025-12-16T08:44:08.720324,49.3,331.9770378188523,3.0884466060401072,127,83.36931553118407,2.8000091163386873,119,44.43823182911975,2.1041139637397723,89,69.858250106706,8.120613208936227,127,26.50922556719992,4.039226763087263,127,0.22186279296875,-0.0740966796875,1.11737060546875,0.4951,-0.2124,0.1655,140.0,127
2025-12-16T08:44:09.720324,50.3,253.53591717284434,3.137748899073837,127,75.50628238490174,3.20604165022499,127,59.550593408072515,3.807701380592274,127,74.53958472548538,12.782099019080315,127,24.595938601369042,4.922831243063543,127,0.10540771484375,0.3228759765625,0.88629150390625,0.3786,0.1846,-0.0656,108.95148889113067,78
2025-12-16T08:44:10.731354,51.3,229.28840399883723,2.819124043659782,119,58.57743398301978,2.6044260812856193,110,41.92075614786949,3.527360168809419,127,27.078803663577894,8.594032105530939,127,15.49750349555746,3.523944059801477,127,0.3643798828125,0.03094482421875,0.93603515625,0.6376,-0.1074,-0.0159,78.39043968953435,29
2025-12-16T08:44:11.732261,52.3,148.38391105364317,1.4178080282039183,60,57.975337335636866,2.1517891831173155,91,26.741257098109383,2.062977926462045,87,30.06625393233674,6.1314001253437596,127,14.77038750243316,2.38349845929677,101,-0.1351318359375,0.3739013671875,0.8675537109375,0.1381,0.2356,-0.0844,85.97451509776971,41
2025-12-16T08:44:12.751366,53.3,210.1966726717772,1.337116861482114,57,63.93563974957121,2.146828976313617,91,32.92606524707359,1.554608804651053,66,30.336827797511763,4.450036492627208,127,18.11363645261144,2.3264903844353304,98,0.5198974609375,-0.35186767578125,0.7825927734375,0.7931,-0.4902,-0.1693,140.0,127
2025-12-16T08:44:13.752149,54.3,298.31905027754703,2.564031647286918,109,71.32432585311714,2.529985697083953,107,36.00308297579455,1.4558142192764005,62,34.61030468758399,3.94399660335785,127,16.584994585626287,1.9476365677577132,82,0.50994873046875,-0.3585205078125,0.75482177734375,0.7831,-0.4968,-0.1971,140.0,127
2025-12-16T08:44:14.754874,55.3,302.92755258526876,3.4899894036446746,127,93.43758532779692,3.955319185759528,127,48.95272835297344,2.468512370265164,105,56.85496611958017,7.082070079406087,127,29.606693270193126,4.569760616229551,127,0.48736572265625,-0.307373046875,0.7777099609375,0.7606,-0.4457,-0.1742,86.53366977952186,42
2025-12-16T08:44:15.758868,56.3,205.959198384872,2.7259300039677745,115,52.04755923517346,2.7872306388742945,118,33.97856339531734,1.926411941799669,82,33.68709906830652,5.641481415656424,127,21.96425461835908,4.710677513560274,127,0.609375,-0.0225830078125,0.800048828125,0.8826,-0.1609,-0.1519,140.0,127
2025-12-16T08:44:16.758872,57.3,151.94057945324286,1.4043708851311147,59,56.85601684840169,2.221181525502879,94,37.61706944658328,1.850913953356423,78,37.31619336600949,5.202819137066171,127,20.01737627720916,4.3776349465101765,127,0.23236083984375,0.22894287109375,0.869384765625,0.5056,0.0906,-0.0825,102.01747180686942,67
2025-12-16T08:44:17.759684,58.3,160.92920682726165,0.610188269090929,26,38.15680322559475,0.8464706419273339,36,25.377405456596637,0.7755250928894699,33,29.44326188168771,3.659744388665259,127,16.371019942235392,3.335992827151288,127,0.09002685546875,0.19158935546875,1.06085205078125,0.3632,0.0533,0.1089,140.0,127
2025-12-16T08:44:18.767796,59.3,156.03538476337832,0.017012314511389792,1,34.93063539658494,0.28464313553380594,12,23.05208420066674,0.17151180685591738,7,25.012890424044933,1.884045743036225,80,15.270307306848387,2.3627806005756944,100,0.3109130859375,-0.0645751953125,0.9385986328125,0.5841,-0.2029,-0.0133,140.0,127
2025-12-16T08:44:19.772483,60.3,134.97540276702017,0.7627665475728937,32,42.640806954533566,0.6729714975207411,28,33.74204364999402,0.05863540969987528,2,29.48712248762687,1.3434889102057945,57,18.504767268536547,2.3987139340245247,102,0.09283447265625,0.131103515625,0.94573974609375,0.3660,-0.0072,-0.0062,77.07656838095211,27
2025-12-16T08:44:20.773294,61.3,177.5011457495991,0.6654571687446991,28,52.23908753199286,0.44255071003664354,19,35.38584422281171,0.3570667638107763,15,33.14625300154823,1.5395644500733954,65,16.870941787283122,2.061596575018042,87,0.33856201171875,0.19525146484375,0.90411376953125,0.6118,0.0569,-0.0478,70.26592253081579,16
2025-12-16T08:44:21.784545,62.3,181.63378568743732,0.537153572018601,23,51.04701695366472,0.34363381145147204,15,35.54363302638689,0.5791508877444653,25,31.646257483942698,1.4413254792984125,61,17.705901944376293,2.010751451948462,85,0.29132080078125,0.16864013671875,0.90911865234375,0.5645,0.0303,-0.0428,97.5634610082511,60
2025-12-16T08:44:22.802179,63.4,194.80063926766815,0.2555813453301643,11,69.39927701335094,0.6859294315963577,29,42.17909637192924,1.288957383786976,55,39.70936802905089,2.6384265214349014,112,21.396845834347175,2.7935586568871438,118,0.12841796875,0.26373291015625,0.91949462890625,0.4016,0.1254,-0.0324,115.1264539064641,88
2025-12-16T08:44:23.810417,64.4,172.64895779967955,0.38109392773313194,16,55.652197659916354,0.6872782565012523,29,34.766263431344484,1.166530405364352,49,34.799995172387234,2.7056500878109335,115,17.746767358441478,2.532186061760156,107,0.15289306640625,0.2728271484375,0.70489501953125,0.4261,0.1345,-0.2470,94.02300117586076,54
2025-12-16T08:44:24.810465,65.4,175.5220183525057,0.42710999355320955,18,55.162807767333526,0.6626140569755095,28,31.374953914420747,0.7975107898478856,34,30.74756611796928,2.1164953433218163,90,18.0846694938218,2.424148816849642,103,0.72869873046875,0.16180419921875,0.79876708984375,1.0019,0.0235,-0.1531,83.84163715637368,38
2025-12-16T08:44:25.812609,66.4,164.57115739031033,0.6188076270467902,26,53.15340585385789,0.5402028475486573,23,33.29035513712199,0.699215739422117,30,31.33896929209737,1.796934384159773,76,19.932306302408133,2.7582021595654846,117,0.63665771484375,0.1851806640625,0.66064453125,0.9099,0.0469,-0.2913,140.0,127
2025-12-16T08:44:26.826997,67.4,211.0059682419441,0.07672766074001758,3,54.0071481573603,0.4991889001566755,21,34.49214513750618,0.7308105444506544,31,37.52671751671532,2.544687461412323,108,19.688438533435622,2.9379663156789295,124,0.46533203125,0.390380859375,0.80596923828125,0.7385,0.2521,-0.1459,140.0,127
2025-12-16T08:44:27.839294,68.4,202.80450241703568,0.18328362904461173,8,53.17029923357734,0.42668922014316585,18,36.357588168483936,0.9087719229509206,38,38.13855359392958,3.1641698418031945,127,20.285376528590813,3.1961612250430322,127,0.43902587890625,0.15203857421875,0.81512451171875,0.7122,0.0137,-0.1368,140.0,127
2025-12-16T08:44:28.853328,69.4,190.3800478800521,0.18434399027111534,8,49.25866775635566,0.17125492793869845,7,35.57337752134917,0.9678294483937627,41,35.50906911786704,3.1849915009077563,127,20.202162034589428,3.358446381025275,127,0.529541015625,0.11126708984375,0.836669921875,0.8027,-0.0270,-0.1152,71.67997778214021,19
2025-12-16T08:44:29.864725,70.4,191.8768199761948,0.20688496518706997,9,44.93956795792505,0.23355524763249724,10,32.5068656414388,0.7529836081716128,32,26.290761837100664,1.75233818873554,74,19.40959399252798,3.2963086322865776,127,0.23406982421875,0.401611328125,0.90887451171875,0.5073,0.2633,-0.0430,66.85316925230299,11
2025-12-16T08:44:30.867383,71.4,174.63813010408973,0.028397559434739678,1,51.818132082420334,0.15698673289944237,7,32.95816397661728,0.6402944113070875,27,32.7238550135222,1.7594445581594325,74,20.09921732720138,3.4057234742919373,127,0.60247802734375,-0.014404296875,0.82110595703125,0.8757,-0.1527,-0.1308,140.0,127
